day,date,time,timezone,platform,format,source_asset_id,title_or_hook,caption_file,media_file,thumbnail_file,destination_url,utm_url,status,platform_post_id,notes
0,2026-09-06,19:00,Europe/Berlin,facebook,post,NONE,Die ganze Stufe A1.1 ist offen.,captions/facebook/DM-W0-D0-FB-POST.txt,NONE,NONE,https://deutsch-meister.de/,https://deutsch-meister.de/?utm_source=facebook&utm_medium=organic_post&utm_campaign=existing_content_launch_7d&utm_content=dm-w0-d0-fb-post,READY_TO_POST,,Seitenstart. Kein Medium nötig — reiner Textpost.
1,2026-09-07,18:30,Europe/Berlin,youtube,long,VID-A1-ALPHABET-EN,Das deutsche Alphabet: jeder Buchstabe einzeln,captions/youtube/DM-W0-D1-YT-LONG.txt,exports/youtube/DM-W0-D1-YT-LONG.mp4,thumbnails/DM-W0-D1.png,https://deutsch-meister.de/video-library/7551ef9a-b5f0-43c0-816b-b112e38df1de,https://deutsch-meister.de/video-library/7551ef9a-b5f0-43c0-816b-b112e38df1de?utm_source=youtube&utm_medium=organic_video&utm_campaign=existing_content_launch_7d&utm_content=dm-w0-d1-yt-long,BLOCKED_MEDIA_ACCESS,,Schnitt und Export brauchen lokalen Zugriff auf die Datei.
1,2026-09-07,19:00,Europe/Berlin,instagram,reel,VID-A1-ALPHABET-EN,"Ä, Ö, Ü — drei Buchstaben, die es im Englischen nicht gibt",captions/instagram/DM-W0-D1-IG-REEL.txt,exports/vertical/DM-W0-D1-VERT.mp4,NONE,https://deutsch-meister.de/video-library/7551ef9a-b5f0-43c0-816b-b112e38df1de,https://deutsch-meister.de/video-library/7551ef9a-b5f0-43c0-816b-b112e38df1de?utm_source=instagram&utm_medium=organic_reel&utm_campaign=existing_content_launch_7d&utm_content=dm-w0-d1-ig-reel,BLOCKED_AUTH,,Instagram-Konto existiert noch nicht.
2,2026-09-08,19:00,Europe/Berlin,youtube,short,VID-A1-LETTERCOMBI-EN,ei oder ie? Ein Blick — und du weißt es,captions/youtube/DM-W0-D2-YT-SHORT.txt,exports/vertical/DM-W0-D2-VERT.mp4,NONE,https://deutsch-meister.de/video-library/69a66686-663b-4c0a-b408-2f66b72dba69,https://deutsch-meister.de/video-library/69a66686-663b-4c0a-b408-2f66b72dba69?utm_source=youtube&utm_medium=organic_short&utm_campaign=existing_content_launch_7d&utm_content=dm-w0-d2-yt-short,BLOCKED_MEDIA_ACCESS,,Ein Master für alle drei Plattformen.
2,2026-09-08,19:00,Europe/Berlin,facebook,reel,VID-A1-LETTERCOMBI-EN,ei oder ie? Ein Blick — und du weißt es,captions/facebook/DM-W0-D2-FB-REEL.txt,exports/vertical/DM-W0-D2-VERT.mp4,NONE,https://deutsch-meister.de/video-library/69a66686-663b-4c0a-b408-2f66b72dba69,https://deutsch-meister.de/video-library/69a66686-663b-4c0a-b408-2f66b72dba69?utm_source=facebook&utm_medium=organic_reel&utm_campaign=existing_content_launch_7d&utm_content=dm-w0-d2-fb-reel,BLOCKED_MEDIA_ACCESS,,
3,2026-09-09,19:00,Europe/Berlin,facebook,carousel,NONE,"Der, die oder das? Drei Muster, die wirklich helfen.",captions/facebook/DM-W0-D3-FB-CAROUSEL.txt,carousels/derdiedas-01..06.png,NONE,https://deutsch-meister.de/grammar/,https://deutsch-meister.de/grammar/?utm_source=facebook&utm_medium=organic_carousel&utm_campaign=existing_content_launch_7d&utm_content=dm-w0-d3-fb-carousel,READY_TO_POST,,Bilder fertig gerendert. Unabhängig vom Video-Blocker.
3,2026-09-09,19:00,Europe/Berlin,instagram,carousel,NONE,"Der, die oder das? Drei Muster, die wirklich helfen.",captions/instagram/DM-W0-D3-IG-CAROUSEL.txt,carousels/derdiedas-01..06.png,NONE,https://deutsch-meister.de/grammar/,https://deutsch-meister.de/grammar/?utm_source=instagram&utm_medium=organic_carousel&utm_campaign=existing_content_launch_7d&utm_content=dm-w0-d3-ig-carousel,BLOCKED_AUTH,,Wartet nur auf das Instagram-Konto.
4,2026-09-10,19:00,Europe/Berlin,facebook,post,POD-A12-1,Drei Sätze aus dem Alltag — direkt aus der Folge,captions/facebook/DM-W0-D4-FB-POST.txt,NONE,NONE,https://deutsch-meister.de/podcasts,https://deutsch-meister.de/podcasts?utm_source=facebook&utm_medium=organic_post&utm_campaign=existing_content_launch_7d&utm_content=dm-w0-d4-fb-post,READY_TO_POST,,A1.2 statt A1.1 gewählt: die A1.1-Titel tragen falsche Umlaute.
4,2026-09-10,19:00,Europe/Berlin,instagram,reel,POD-A12-1,Mein Tagesablauf — 40 Sekunden aus der Folge,captions/instagram/DM-W0-D4-IG-REEL.txt,exports/vertical/DM-W0-D4-VERT.mp4,NONE,https://deutsch-meister.de/podcasts,https://deutsch-meister.de/podcasts?utm_source=instagram&utm_medium=organic_reel&utm_campaign=existing_content_launch_7d&utm_content=dm-w0-d4-ig-reel,BLOCKED_MEDIA_ACCESS,,Untertitel müssen erst transkribiert werden — es gibt kein Transkript.
5,2026-09-11,18:30,Europe/Berlin,youtube,long,VID-A1-DERDIEDAS-EN,"Der, die, das: die Regeln, die man wirklich braucht",captions/youtube/DM-W0-D5-YT-LONG.txt,exports/youtube/DM-W0-D5-YT-LONG.mp4,thumbnails/DM-W0-D5.png,https://deutsch-meister.de/grammar/,https://deutsch-meister.de/grammar/?utm_source=youtube&utm_medium=organic_video&utm_campaign=existing_content_launch_7d&utm_content=dm-w0-d5-yt-long,DO_NOT_PUBLISH,,Quelldatei steht unter Verdacht ein anderes Video zu sein — siehe Preflight-Report.
