typ;stufe;titel;storage_pfad;zieldatei;mb
Video;A1;German Alphabet & Pronunciation Rules (EN);video-library/german-alphabet-pronunciation-rules/video-en.mp4;Videos/01 - Alphabet - EN.mp4;25
Video;A1;German Alphabet & Pronunciation Rules (AR);video-library/german-alphabet-pronunciation-rules/video-ar.mp4;Videos/01 - Alphabet - AR.mp4;24
Video;A1;German Letter Combinations (EN);video-library/german-letter-combinations-mastering-pronunciation/video-en.mp4;Videos/02 - Buchstabenkombinationen - EN.mp4;20
Video;A1;German Letter Combinations (AR);video-library/german-letter-combinations-mastering-pronunciation/video-ar.mp4;Videos/02 - Buchstabenkombinationen - AR.mp4;21
Video;A1;Mastering Der Die Das (EN);video-library/mastering-der-die-das-german-articles-explained/video-en.mp4;Videos/03 - Der Die Das - EN - PRUEFEN.mp4;26
Video;A1;Mastering Der Die Das (AR);video-library/mastering-der-die-das-german-articles-explained/video-ar.mp4;Videos/03 - Der Die Das - AR.mp4;24
Video;A1;Indefinite Articles Ein & Eine (EN);video-library/german-indefinite-articles-ein-eine-explained/video-en.mp4;Videos/04 - Ein Eine - EN.mp4;27
Video;A1;Indefinite Articles Ein & Eine (AR);video-library/german-indefinite-articles-ein-eine-explained/video-ar.mp4;Videos/04 - Ein Eine - AR.mp4;17
Video;A1;Personal Pronouns (EN);video-library/german-personal-pronouns-the-complete-guide/video-en.mp4;Videos/05 - Personalpronomen - EN.mp4;26
Video;A1;Personal Pronouns (AR);video-library/german-personal-pronouns-the-complete-guide/video-ar.mp4;Videos/05 - Personalpronomen - AR.mp4;21
Video;A1;Pronoun Cases (EN);video-library/german-pronoun-cases-nominative-accusative-dative/video-en.mp4;Videos/06 - Pronomen Faelle - EN.mp4;15
Video;A1;Pronoun Cases (AR);video-library/german-pronoun-cases-nominative-accusative-dative/video-ar.mp4;Videos/06 - Pronomen Faelle - AR.mp4;21
Video;A1;Verb sein (EN);video-library/german-verb-sein-how-to-say-to-be/video-en.mp4;Videos/07 - Verb sein - EN.mp4;30
Video;A1;Verb sein (AR);video-library/german-verb-sein-how-to-say-to-be/video-ar.mp4;Videos/07 - Verb sein - AR.mp4;21
Video;A1;Verb haben (EN);video-library/german-verb-haben-how-to-say-to-have/video-en.mp4;Videos/08 - Verb haben - EN.mp4;24
Video;A1;Verb haben (AR);video-library/german-verb-haben-how-to-say-to-have/video-ar.mp4;Videos/08 - Verb haben - AR.mp4;20
Video;A1;Nominative Case (EN);video-library/the-nominative-case-subjects-in-german/video-en.mp4;Videos/09 - Nominativ - EN.mp4;26
Video;A1;Nominative Case (AR);video-library/the-nominative-case-subjects-in-german/video-ar.mp4;Videos/09 - Nominativ - AR.mp4;19
Video;A1;Questions in the Nominative (EN);video-library/asking-questions-in-the-nominative-case/video-en.mp4;Videos/10 - Fragen im Nominativ - EN.mp4;21
Video;A1;Questions in the Nominative (AR);video-library/asking-questions-in-the-nominative-case/video-ar.mp4;Videos/10 - Fragen im Nominativ - AR.mp4;16
Video;A1;Accusative Case (EN);video-library/the-accusative-case-direct-objects-in-german/video-en.mp4;Videos/11 - Akkusativ - EN.mp4;25
Video;A1;Accusative Case (AR);video-library/the-accusative-case-direct-objects-in-german/video-ar.mp4;Videos/11 - Akkusativ - AR.mp4;22
Podcast;A1.1;Erste Schritte auf Deutsch;podcasts/A1.1/1.mp4;Podcasts/A1.1-1 - Erste Schritte auf Deutsch.mp4;120
Podcast;A1.1;Zahlen und Zaehlen;podcasts/A1.1/2.mp4;Podcasts/A1.1-2 - Zahlen und Zaehlen.mp4;117
Podcast;A1.1;Im Cafe;podcasts/A1.1/3.mp4;Podcasts/A1.1-3 - Im Cafe.mp4;120
Podcast;A1.2;Mein Tagesablauf;podcasts/A1.2/1.mp4;Podcasts/A1.2-1 - Mein Tagesablauf.mp4;218
Podcast;A1.2;Einkaufen im Supermarkt;podcasts/A1.2/2.mp4;Podcasts/A1.2-2 - Einkaufen im Supermarkt.mp4;129
Podcast;A1.2;Familie und Freunde;podcasts/A1.2/3.mp4;Podcasts/A1.2-3 - Familie und Freunde.mp4;129
Podcast;A2.1;Im Restaurant;podcasts/A2.1/1.mp4;Podcasts/A2.1-1 - Im Restaurant.mp4;194
Podcast;A2.1;Unterwegs in der Stadt;podcasts/A2.1/2.mp4;Podcasts/A2.1-2 - Unterwegs in der Stadt.mp4;156
Podcast;A2.1;Hobbys und Freizeit;podcasts/A2.1/3.mp4;Podcasts/A2.1-3 - Hobbys und Freizeit.mp4;211
Podcast;A2.2;Beim Arzt;podcasts/A2.2/1.mp4;Podcasts/A2.2-1 - Beim Arzt.mp4;291
Podcast;A2.2;Einen Ausflug planen;podcasts/A2.2/2.mp4;Podcasts/A2.2-2 - Einen Ausflug planen.mp4;207
Podcast;A2.2;Beruf und Arbeitsplatz;podcasts/A2.2/3.mp4;Podcasts/A2.2-3 - Beruf und Arbeitsplatz.mp4;219
Podcast;B1.1;Ueber Nachrichten sprechen;podcasts/B1.1/1.mp4;Podcasts/B1.1-1 - Ueber Nachrichten sprechen.mp4;337
Podcast;B1.1;Meinungen ausdruecken;podcasts/B1.1/2.mp4;Podcasts/B1.1-2 - Meinungen ausdruecken.mp4;420
