asset_id,type,current_title,cefr_level,language_variant,source_file_or_url,public_page_url,duration_seconds,transcript_path,subtitle_path,thumbnail_path,audio_quality,visual_quality,language_qa,status,rights_verified,reuse_recommendation,notes
VID-A1-ALPHABET-EN,video,German Alphabet & Pronunciation Rules,A1,en,video-library/german-alphabet-pronunciation-rules/video-en.mp4,https://deutsch-meister.de/video-library/7551ef9a-b5f0-43c0-816b-b112e38df1de,UNKNOWN,NONE,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_TECHNICAL_FIX,UNKNOWN,Day 1 master + Day 2 short,24.9 MB. Media not downloadable from this session (storage egress blocked) so duration/AV quality unverified. No thumbnail row in DB.
VID-A1-ALPHABET-AR,video,German Alphabet & Pronunciation Rules,A1,ar,video-library/german-alphabet-pronunciation-rules/video-ar.mp4,https://deutsch-meister.de/video-library/7551ef9a-b5f0-43c0-816b-b112e38df1de,UNKNOWN,NONE,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_TECHNICAL_FIX,UNKNOWN,hold for a separate Arabic-labelled upload,24.4 MB. Never mix into the German-labelled playlist without a language tag.
VID-A1-LETTERCOMBI-EN,video,German Letter Combinations: Mastering Pronunciation,A1,en,video-library/german-letter-combinations-mastering-pronunciation/video-en.mp4,https://deutsch-meister.de/video-library/69a66686-663b-4c0a-b408-2f66b72dba69,UNKNOWN,NONE,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_TECHNICAL_FIX,UNKNOWN,Day 2 ei/ie short,20.3 MB. Source for the ei/ie rule.
VID-A1-LETTERCOMBI-AR,video,German Letter Combinations: Mastering Pronunciation,A1,ar,video-library/german-letter-combinations-mastering-pronunciation/video-ar.mp4,https://deutsch-meister.de/video-library/69a66686-663b-4c0a-b408-2f66b72dba69,UNKNOWN,NONE,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_TECHNICAL_FIX,UNKNOWN,hold,20.7 MB.
VID-A1-DERDIEDAS-EN,video,"Mastering Der, Die, Das: German Articles Explained",A1,en,video-library/mastering-der-die-das-german-articles-explained/video-en.mp4,https://deutsch-meister.de/video-library/55353665-adb7-4222-a82d-cf5fb7b712d7,UNKNOWN,NONE,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,DO_NOT_PUBLISH,UNKNOWN,blocked until the file is opened and checked,SUSPECTED WRONG FILE: 26456138 bytes — byte-identical in size to german-personal-pronouns/video-en.mp4 and to the legacy german-pronouns/German_Personal_Pronouns.mp4. Likely the personal-pronouns video stored under the articles slug. Day 3 and Day 5 both depend on this — verify before either ships.
VID-A1-DERDIEDAS-AR,video,"Mastering Der, Die, Das: German Articles Explained",A1,ar,video-library/mastering-der-die-das-german-articles-explained/video-ar.mp4,https://deutsch-meister.de/video-library/55353665-adb7-4222-a82d-cf5fb7b712d7,UNKNOWN,NONE,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_TECHNICAL_FIX,UNKNOWN,hold,23.7 MB. Distinct size — this one is probably the real articles video.
VID-A1-EINEINE-EN,video,German Indefinite Articles: Ein & Eine Explained,A1,en,video-library/german-indefinite-articles-ein-eine-explained/video-en.mp4,https://deutsch-meister.de/video-library/9e043ea2-56ce-4c6f-bb5a-f5125bbd0d74,UNKNOWN,NONE,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_TECHNICAL_FIX,UNKNOWN,Day 6 quiz,26.6 MB.
VID-A1-EINEINE-AR,video,German Indefinite Articles: Ein & Eine Explained,A1,ar,video-library/german-indefinite-articles-ein-eine-explained/video-ar.mp4,https://deutsch-meister.de/video-library/9e043ea2-56ce-4c6f-bb5a-f5125bbd0d74,UNKNOWN,NONE,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_TECHNICAL_FIX,UNKNOWN,hold,17.0 MB.
VID-A1-PRONOUNS-EN,video,German Personal Pronouns: The Complete Guide,A1,en,video-library/german-personal-pronouns-the-complete-guide/video-en.mp4,https://deutsch-meister.de/video-library/c22ee1dd-4a8f-489d-806e-ce9fade3146c,UNKNOWN,NONE,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_TECHNICAL_FIX,UNKNOWN,reserve,26.5 MB. Same byte size as the der-die-das English file — one of the two is mislabelled.
VID-A1-PRONOUNS-AR,video,German Personal Pronouns: The Complete Guide,A1,ar,video-library/german-personal-pronouns-the-complete-guide/video-ar.mp4,https://deutsch-meister.de/video-library/c22ee1dd-4a8f-489d-806e-ce9fade3146c,UNKNOWN,NONE,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_TECHNICAL_FIX,UNKNOWN,hold,20.5 MB.
VID-A1-PRONOUNCASES-EN,video,"German Pronoun Cases: Nominative, Accusative & Dative",A1,en,video-library/german-pronoun-cases-nominative-accusative-dative/video-en.mp4,https://deutsch-meister.de/video-library/a2c76a90-e9f7-43f5-be97-64e5f93b4ece,UNKNOWN,NONE,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_TECHNICAL_FIX,UNKNOWN,reserve,15.2 MB. Same size as legacy german-pronouns-2/German_Gender_Code.mp4 — that legacy path is an older copy.
VID-A1-PRONOUNCASES-AR,video,"German Pronoun Cases: Nominative, Accusative & Dative",A1,ar,video-library/german-pronoun-cases-nominative-accusative-dative/video-ar.mp4,https://deutsch-meister.de/video-library/a2c76a90-e9f7-43f5-be97-64e5f93b4ece,UNKNOWN,NONE,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_TECHNICAL_FIX,UNKNOWN,hold,21.1 MB.
