clip,video_nr,video_titel,slug,anker_prozent,dauer_sek,titel,quelle_url
01-german-alphabet-pronunciation-rules--clip-1,1,"German Alphabet & Pronunciation Rules",german-alphabet-pronunciation-rules,8,50,"Ä, Ö, Ü — die drei Buchstaben, die es im Englischen nicht gibt",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-alphabet-pronunciation-rules/video-en.mp4
01-german-alphabet-pronunciation-rules--clip-2,1,"German Alphabet & Pronunciation Rules",german-alphabet-pronunciation-rules,26,50,"Das ß — wann es statt ss steht",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-alphabet-pronunciation-rules/video-en.mp4
01-german-alphabet-pronunciation-rules--clip-3,1,"German Alphabet & Pronunciation Rules",german-alphabet-pronunciation-rules,44,50,"Das deutsche R kommt aus dem Hals, nicht von der Zunge",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-alphabet-pronunciation-rules/video-en.mp4
01-german-alphabet-pronunciation-rules--clip-4,1,"German Alphabet & Pronunciation Rules",german-alphabet-pronunciation-rules,62,50,"V und W sind im Deutschen vertauscht",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-alphabet-pronunciation-rules/video-en.mp4
01-german-alphabet-pronunciation-rules--clip-5,1,"German Alphabet & Pronunciation Rules",german-alphabet-pronunciation-rules,80,50,"Z klingt nie wie Z",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-alphabet-pronunciation-rules/video-en.mp4
02-german-letter-combinations-mastering-pronunciation--clip-1,2,"German Letter Combinations: Mastering Pronunciation",german-letter-combinations-mastering-pronunciation,8,50,"SCH — drei Buchstaben, ein Laut",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-letter-combinations-mastering-pronunciation/video-en.mp4
02-german-letter-combinations-mastering-pronunciation--clip-2,2,"German Letter Combinations: Mastering Pronunciation",german-letter-combinations-mastering-pronunciation,26,50,"CH hat zwei Klänge — und der Vokal davor entscheidet",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-letter-combinations-mastering-pronunciation/video-en.mp4
02-german-letter-combinations-mastering-pronunciation--clip-3,2,"German Letter Combinations: Mastering Pronunciation",german-letter-combinations-mastering-pronunciation,44,50,"EI und IE — die Regel, die nie versagt",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-letter-combinations-mastering-pronunciation/video-en.mp4
02-german-letter-combinations-mastering-pronunciation--clip-4,2,"German Letter Combinations: Mastering Pronunciation",german-letter-combinations-mastering-pronunciation,62,50,"SP und ST am Wortanfang werden zu ""schp"" und ""scht""",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-letter-combinations-mastering-pronunciation/video-en.mp4
02-german-letter-combinations-mastering-pronunciation--clip-5,2,"German Letter Combinations: Mastering Pronunciation",german-letter-combinations-mastering-pronunciation,80,50,"EU und ÄU klingen beide wie ""oi""",https://omqyueddktqeyrrqvnyq.supabase.co/storage/v1/object/public/video-library/german-letter-combinations-mastering-pronunciation/video-en.mp4
